Code,Food name in English,"Calcium
(mg)","Copper
(mg)","Fatty acids, total polyunsaturated
(g)","Fibre, total dietary or [fibre, crude]
(g)","Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)","Iron
(mg)","Magnesium
(mg)","Phosphorus
(mg)","Potassium
(mg)","Protein, total
(g)","Sodium
(mg)","Vitamin A (expressed in retinol activity equivalents)
(mcg)","Vitamin B12
(mcg)","Vitamin C
(mg)","Vitamin D 
(mcg)","Zinc
(mg)","net_carbs
(g)"
04_096,"Spider plant, leaves, fresh, boiled* (as part of a recipe)",0.04711364322858495,0.012687438610444716,0.0031607995358948373,0.02527371813056302,0.07167267344094219,0.04268566225404842,0.035078192053683295,0.007478733348572807,0.03683562236451303,0.012348115205650082,0.0029878724171164993,0.004348527732854463,0.0,0.057309764604065276,0.0,0.014244809874646228,-0.004030732554414161
04_095,"Spider plant, leaves, fresh, boiled* (without salt), drained",0.042815556477907024,0.011559666289516296,0.0030415240817101264,0.024174860820538546,0.049619543151421516,0.030572163506277922,0.020402621908774978,0.006410342870205264,0.017657940779845147,0.011863875393663806,0.0021341945836546423,0.004177325853608225,0.0,0.036342777553797494,0.0,0.010327487159118513,-0.0037206762040746105
04_057,"Spinach, leaves, fresh, raw",0.016365791858350562,0.0036652600430173623,0.0010734790876623975,0.014834573685330471,0.0523761844376116,0.01557449838999064,0.028277318084091636,0.007478733348572807,0.040381684242432755,0.007021477273801027,0.01124009147391445,0.0027221098800151956,0.0,0.03913837582716653,0.0,0.009437186541953125,-0.0031005635033955086
04_118,"Spinach, leaves, fresh, boiled* (as part of a recipe)",0.019506701406922893,0.0042291462034815715,0.0013120299960318192,0.01758171696039167,0.044106260579041344,0.018458664758507427,0.033646429112716626,0.00885237824933108,0.04805275687629991,0.008232076803766721,0.013374286057569091,0.002927552135110682,0.0,0.02795598273369038,0.0,0.011217787776283903,-0.003565648028904835
04_058,"Spinach, leaves, fresh, boiled* (without salt), drained",0.016365791858350562,0.0036652600430173623,0.001133116814754753,0.015384002340342708,0.02756641286190084,0.012113498747770499,0.017897036762083315,0.007020851714986717,0.021276371267518333,0.007263597179794166,0.008821337612439188,0.0025851483766182047,0.0,0.016773589640214227,0.0,0.007478525184189269,-0.0031005635033955086
04_059,"Sweet potato, leaves, fresh, raw",0.012894260252033777,0.0011277723209284192,0.0005963772709235542,0.0291197187156487,0.022053130289520672,0.020765997853320853,0.025055851466916638,0.012820685740410528,0.041177738949720856,0.011137515675684388,0.0008536778334618569,0.00243106668529659,0.0,0.015375790503529708,0.0,0.005163743579559257,-0.0006201127006791008
04_121,"Sweet potato, leaves, fresh, boiled* (as part of a recipe)",0.013720815396394916,0.0011277723209284192,0.0006560149980159096,0.030768004680685416,0.016539847717140507,0.021919664400727564,0.026487614407883303,0.013583821796387344,0.04378300890084555,0.011863875393663806,0.0008536778334618569,0.0023283455577488466,0.0,0.009784593956791633,0.0,0.005519863826425412,-0.0006201127006791008
04_060,"Sweet potato, leaves, fresh, boiled* (without salt), drained",0.012728949223161548,0.0011277723209284192,0.0006560149980159096,0.03021857602567318,0.011577893401998354,0.016151331663693997,0.015749392350633315,0.01205754968443371,0.02142110848702526,0.011621755487670665,0.0007113981945515474,0.002294105181899599,0.0,0.006988995683422595,0.0,0.0040953828389607904,-0.0006201127006791021
04_062,"Tamarind, leaves, dried",0.037525603553995736,0.007330520086034725,0.009482398607684512,0.25658318189071594,0.11026565144760336,0.07152732593921628,0.0658610952844666,0.057845713043042736,0.07888178463127545,0.03389678683903944,0.0019919149447443327,0.00020544225509548647,0.0,0.004193397410053557,0.0,0.04807623332693102,-0.03147071955946442
04_019,"Tamarind, leaves, fresh, raw",0.008596173501355851,0.01578881249299787,0.0022065959024171506,0.058788866086309635,0.03307969543428101,0.016151331663693997,0.015033510880149982,0.013278567373996618,0.03365140353536063,0.007505717085787305,0.0018496353058340233,0.00023968263094473422,0.0,0.008386794820107114,0.0,0.017806012343307785,-0.007596380583318996
04_122,"Tamarind, leaves, fresh, boiled* (as part of a recipe)",0.009092106587972534,0.016916584813926286,0.002385509083694217,0.06263486667139533,0.023982779189853733,0.017304998211100712,0.016107333085874982,0.014041703429973434,0.03582246182796454,0.007989956897773582,0.0019919149447443327,0.00022256244302011033,0.0,0.0055911965467380755,0.0,0.01887437308390625,-0.008061465108828322
04_061,"Tamarind, leaves, fresh, boiled* (without salt), drained",0.008265551443611395,0.01522492633253366,0.002266233629509506,0.05988772339633412,0.016539847717140507,0.012690332021473856,0.009306459116283323,0.012210176895629074,0.0171513605115709,0.007747836991780444,0.0014227963891030948,0.00022256244302011033,0.0,0.0027955982733690377,0.0,0.013710629504346993,-0.007751408758488771
04_020,"Taro, leaves, fresh, raw",0.0314090954857233,0.0031013738825531527,0.002266233629509506,0.030768004680685416,0.035836336720471096,0.008652499105550356,0.02111850337925831,0.007478733348572807,0.04320406002281784,0.0060529976498284715,0.0017073556669237138,0.0025680281886935807,0.0,0.0964481404312318,0.0,0.006944344813890036,-0.004495817079923486
04_123,"Taro, leaves, fresh, boiled* (as part of a recipe)",0.03339282783219004,0.0033833169627852573,0.002445146810786572,0.03296571930073438,0.02591242809018679,0.009229332379253713,0.022550266320224974,0.007936614982158897,0.04595406719344946,0.00653723746181475,0.0018496353058340233,0.0024653070611458374,0.0,0.06150316201411883,0.0,0.007478525184189269,-0.0049609016054328135
04_063,"Taro, leaves, fresh, boiled* (without salt), drained",0.030417229312489934,0.0031013738825531527,0.0023258713566018615,0.03131743333569766,0.01764250423161654,0.006921999284440284,0.012885866468699986,0.006868224503791354,0.02200005736505297,0.00629511755582161,0.0012805167501927855,0.002362585933598094,0.0,0.03913837582716653,0.0,0.0053418037029923345,-0.004650845255093262
04_065,"Tomato, canned, packed in juice",0.004132775721805698,0.0022555446418568385,0.0005963772709235542,0.010439144445232553,0.004686290186523143,0.003460999642220142,0.003937348087658329,0.0027472898015165415,0.015197408048227381,0.0024211990599313886,0.01408568425212064,0.0004280046981155968,0.0,0.016773589640214227,0.0,0.0030270220983623234,0.00015502817516977542
04_066,"Tomato, paste, concentrated, without salt",0.005124641895039065,0.01522492633253366,0.0012523922689394638,0.022526574855501823,0.005788946700999177,0.004614666189626857,0.016823214556358313,0.01114178641726153,0.062381741607485726,0.007747836991780444,0.004410668806219594,0.0029960328868091778,0.0,0.019569187913583266,0.0,0.013176449134047759,0.014727676641128664
04_067,"Tomato, powder",0.027441630792789832,0.034960941948780994,0.0012523922689394638,0.09065572807701953,0.03307969543428101,0.02653433059035442,0.0637134508730166,0.04502502730263221,0.13967141682418496,0.031233467873114915,0.01906547161398147,0.014757601991025777,0.0,0.16354249899208873,0.0,0.03044828110705631,0.06464674904579636
04_021,"Tomato, red, ripe, raw",0.002314354404211191,0.0016916584813926286,0.00047710181673884334,0.007692001170171354,0.0063402749582371935,0.004037832915923499,0.004653229558141661,0.005036697969446993,0.017006623292063972,0.002663318965924528,0.0018496353058340233,0.0007532882686834503,0.0,0.03913837582716653,0.0,0.003917322715527713,0.0031005635033955086
