PMID,title,year,journal,flag_protein,flag_net_carbs,flag_fiber,flag_calcium,flag_iron,flag_magnesium,flag_phosphorus,flag_potassium,flag_sodium,flag_zinc,flag_copper,flag_vitamin_a,flag_vitamin_c,flag_vitamin_d,flag_vitamin_b12,flag_vitamin_b6,flag_thiamine,flag_riboflavin,flag_niacin,flag_folate,flag_saturated_fat,flag_monounsaturated_fat,flag_polyunsaturated_fat,flag_linoleic_acid,flag_alpha_linolenic_acid
39696766,Sociodemographic and Clinical Factors Predictive of Poor Health-Related Quality of Life of Children with Sickle Cell Anemia in The Gambia.,2024,Hemoglobin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39683605,Using Machine Learning to Fight Child Acute Malnutrition and Predict Weight Gain During Outpatient Treatment with a Simplified Combined Protocol.,2024,Nutrients,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39638608,Contribution of malnutrition to infant and child deaths in Sub-Saharan Africa and South Asia.,2024,BMJ global health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39570864,Screening and treatment practices for iron deficiency in anaemic pregnant women: A cross-sectional survey of healthcare workers in Nigeria.,2024,PloS one,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39563322,Iron deficiency anemia and its association with cognitive function among adolescents in the Ashanti Region - Ghana.,2024,BMC public health,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39541371,"Risk factors for anaemia among pregnant women: A cross-sectional study in Upper East Region, Ghana.",2024,PloS one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39525391,Things seen and unseen: 2. Anaemia affects urban rich Nigerian adolescents more than other socio‑economic status groups.,2024,Annals of global health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39525390,Things seen and unseen: 1. Stunting and overweight/obesity are predominant malnutrition burdens of urban poor Nigerian adolescents.,2024,Annals of global health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39527534,Prevalence and factors associated with undernutrition among 15-49-year-old women in Sierra Leone: A secondary data analysis of Sierra Leone Demographic Health Survey of 2019.,2024,PloS one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39516919,"Trends and inequalities in anaemia prevalence among children aged 6-59 months in Ghana, 2003-2022.",2024,International journal for equity in health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
